id,source,dateTimeOcurred,nercRegion,areaAffected,disturbanceType,energyLossInMegaWatts,numCustomersAffected,restorationDateTime
30,2018_Annual_Summary.xls,Fri Mar 02 23:17:00 EST 2018,[WECC],Washington: Clark County;,Vandalism,0,0,Sat Mar 03 00:51:00 EST 2018
31,2018_Annual_Summary.xls,Fri Mar 02 15:10:00 EST 2018,[RF],Ohio:,Severe Weather,,249322,Tue Mar 06 04:57:00 EST 2018
32,2018_Annual_Summary.xls,Fri Mar 02 11:34:00 EST 2018,[NPCC],New York:,Severe Weather,,50000,
33,2018_Annual_Summary.xls,Fri Mar 02 15:46:00 EST 2018,[NPCC],"New York: New York County, Westchester County;",Severe Weather,,72353,Sun Mar 04 19:46:00 EST 2018
34,2018_Annual_Summary.xls,Fri Mar 02 13:51:00 EST 2018,[NPCC],Connecticut: Massachusetts: Rhode Island:,Severe Weather,,325000,Mon Mar 05 13:18:00 EST 2018
35,2018_Annual_Summary.xls,Fri Mar 02 13:51:00 EST 2018,[RF],Pennsylvania:,Severe Weather,,233136,Sun Mar 04 12:11:00 EST 2018
36,2018_Annual_Summary.xls,Fri Mar 02 11:58:00 EST 2018,[RF],"Pennsylvania: Berks County, Bucks County, Carbon County, Chester County, Clinton County, Columbia County, Cumberland County, Dauphin County, Juniata County, Lackawanna County, Lancaster County, Lebanon County, Lehigh County, Luzerne County, Lycoming County, Monroe County, Montgomery County, Montour County, Northampton County, Northumberland County, Pike County, Schuylkill County, Snyder County;",Severe Weather,,126000,
37,2018_Annual_Summary.xls,Fri Mar 02 12:00:00 EST 2018,[RF],Pennsylvania:,Severe Weather,,630000,Mon Mar 05 00:00:00 EST 2018
38,2018_Annual_Summary.xls,Fri Mar 02 07:00:00 EST 2018,[NPCC],"New York: Dutchess County, Orange County, Greene County, Ulster County, Putnam County, Sullivan County, Albany County, Columbia County;",Severe Weather,,90000,
39,2018_Annual_Summary.xls,Fri Mar 02 12:00:00 EST 2018,[RF],Maryland:,Severe Weather,670,474019,
40,2018_Annual_Summary.xls,Fri Mar 02 08:42:00 EST 2018,[NPCC],New York:,Severe Weather,,63331,
41,2018_Annual_Summary.xls,Fri Mar 02 08:00:00 EST 2018,[RF],Virginia: West Virginia:,Severe Weather,,65198,Sat Mar 03 23:00:00 EST 2018
42,2018_Annual_Summary.xls,Wed Mar 07 16:10:00 EST 2018,[RF],New Jersey:,Severe Weather,,216800,Sat Mar 10 11:32:00 EST 2018
43,2018_Annual_Summary.xls,Wed Mar 07 17:15:00 EST 2018,[RF],New Jersey:,Severe Weather,50,58000,
44,2018_Annual_Summary.xls,Wed Mar 07 12:00:00 EST 2018,[RF],Pennsylvania:,Severe Weather,,120000,Wed Mar 07 17:00:00 EST 2018
45,2018_Annual_Summary.xls,Wed Mar 07 19:37:00 EST 2018,[NPCC],Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,Severe Weather,,102000,Sat Mar 10 16:35:00 EST 2018
46,2018_Annual_Summary.xls,Mon Mar 12 00:00:00 EDT 2018,[NPCC],New York: Dutchess County;,Vandalism,0,0,Fri Apr 06 11:00:00 EDT 2018
47,2018_Annual_Summary.xls,Tue Mar 13 08:50:00 EDT 2018,[NPCC],Massachusetts: Rhode Island:,Severe Weather,,123629,Wed Mar 14 23:22:00 EDT 2018
48,2018_Annual_Summary.xls,Tue Mar 13 00:10:00 EDT 2018,[WECC],Colorado:,Suspicious Activity,0,0,Tue Mar 13 00:34:00 EDT 2018
49,2018_Annual_Summary.xls,Mon Mar 19 23:29:00 EDT 2018,[SERC],Alabama: Georgia:,Severe Weather,261,78220,Tue Mar 20 03:37:00 EDT 2018
50,2018_Annual_Summary.xls,Tue Mar 20 19:00:00 EDT 2018,[RF],"New Jersey: Atlantic County, Camden County, Cape May County, Gloucester County, Salem County, Cumberland County, Burlington County;",Severe Weather,80,124000,Sun Mar 25 06:30:00 EDT 2018
51,2018_Annual_Summary.xls,Sat Mar 24 22:30:00 EDT 2018,[RF],Virginia: West Virginia:,Severe Weather,,81227,Mon Mar 26 20:00:00 EDT 2018
52,2018_Annual_Summary.xls,Mon Mar 26 03:05:00 EDT 2018,[WECC],California:,Vandalism,0,0,Mon Mar 26 03:35:00 EDT 2018
53,2018_Annual_Summary.xls,Wed Mar 28 15:00:00 EDT 2018,[WECC],Washington: Walla Walla County;,Vandalism,12,1185,Wed Mar 28 16:00:00 EDT 2018
54,2018_Annual_Summary.xls,Tue Apr 03 11:15:00 EDT 2018,[WECC],California:,Vandalism,0,0,Tue Apr 03 11:30:00 EDT 2018
55,2018_Annual_Summary.xls,Wed Apr 04 16:42:00 EDT 2018,[NPCC],New York:,Severe Weather,,72896,Sat Apr 07 06:22:00 EDT 2018
56,2018_Annual_Summary.xls,Thu Apr 05 00:50:00 EDT 2018,[NPCC],Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,Severe Weather,,65932,Thu Apr 05 16:00:00 EDT 2018
57,2018_Annual_Summary.xls,Mon Apr 09 10:07:00 EDT 2018,[WECC],Washington: Walla Walla County;,Vandalism,0,0,Mon Apr 09 16:00:00 EDT 2018
58,2018_Annual_Summary.xls,Mon Apr 09 12:16:00 EDT 2018,[WECC],Utah: Salt Lake County;,Transmission Interruption,806,57000,Mon Apr 09 13:52:00 EDT 2018
59,2018_Annual_Summary.xls,Mon Apr 09 11:16:00 EDT 2018,[WECC],Utah:,Transmission Interruption,300,250000,
60,2018_Annual_Summary.xls,Mon Apr 09 23:10:00 EDT 2018,[FRCC],Florida: Palm Beach County;,Sabotage,55,27000,Tue Apr 10 06:47:00 EDT 2018
61,2018_Annual_Summary.xls,Sat Apr 14 09:30:00 EDT 2018,[SERC],Louisiana: Arkansas: Mississippi: Texas:,Severe Weather,,56350,Sat Apr 14 10:00:00 EDT 2018
62,2018_Annual_Summary.xls,Sun Apr 15 07:30:00 EDT 2018,[RF],Michigan:,Severe Weather,,389591,Wed Apr 18 07:30:00 EDT 2018
63,2018_Annual_Summary.xls,Sun Apr 15 17:14:00 EDT 2018,[SERC],North Carolina: South Carolina:,Severe Weather,,78100,Sun Apr 15 23:25:00 EDT 2018
64,2018_Annual_Summary.xls,Wed May 02 14:52:00 EDT 2018,[SERC],North Carolina:,Vandalism,0,0,Wed May 02 16:14:00 EDT 2018
65,2018_Annual_Summary.xls,Fri May 04 14:00:00 EDT 2018,[RF],"Michigan: Calhoun County, Genesee County, Ingham County, Kent County, Macomb County, Midland County, Saginaw County, Gratiot County;",Severe Weather,,90000,Sat May 05 09:30:00 EDT 2018
66,2018_Annual_Summary.xls,Fri May 04 12:00:00 EDT 2018,[RF],Michigan:,Severe Weather,,300000,Sun May 06 13:00:00 EDT 2018
67,2018_Annual_Summary.xls,Fri May 04 20:10:00 EDT 2018,[NPCC],New York:,Severe Weather,,106150,
68,2018_Annual_Summary.xls,Fri May 04 23:10:00 EDT 2018,[NPCC],New Hampshire: Vermont:,Severe Weather,,56000,Sat May 05 00:40:00 EDT 2018
69,2018_Annual_Summary.xls,Sat May 05 04:30:00 EDT 2018,[NPCC],Vermont: New Hampshire: Maine:,Severe Weather,,31900,Sat May 05 15:30:00 EDT 2018
70,2018_Annual_Summary.xls,Mon May 07 10:30:00 EDT 2018,[NPCC],New York: Tompkins County;,Suspected Physical Attack,0,0,Mon May 07 10:36:00 EDT 2018
71,2018_Annual_Summary.xls,Tue May 08 16:00:00 EDT 2018,[WECC],Utah: Washington County;,Actual Physical Attack,0,0,Tue May 08 16:01:00 EDT 2018
72,2018_Annual_Summary.xls,Mon May 14 19:08:00 EDT 2018,[SERC],Virginia:,Severe Weather,,112000,
73,2018_Annual_Summary.xls,Tue May 15 14:50:00 EDT 2018,[RF],"Pennsylvania: Lehigh County, Schuylkill County, Cumberland County, Lancaster County, Northampton County, Berks County, Clinton County, Susquehanna County, Bucks County, Carbon County, Chester County, Columbia County, Juniata County;",Severe Weather,,114000,
74,2018_Annual_Summary.xls,Tue May 15 16:00:00 EDT 2018,[NPCC],"New York: Dutchess County, Ulster County, Orange County;",Severe Weather,,72000,
75,2018_Annual_Summary.xls,Tue May 15 17:25:00 EDT 2018,[RF],New Jersey:,Severe Weather,,82372,
76,2018_Annual_Summary.xls,Tue May 15 18:14:00 EDT 2018,[RF],Pennsylvania:,Severe Weather,,52872,Tue May 15 19:00:00 EDT 2018
77,2018_Annual_Summary.xls,Tue May 15 18:35:00 EDT 2018,[NPCC],Connecticut: Massachusetts: Rhode Island:,Severe Weather,,120000,Fri May 18 15:57:00 EDT 2018
78,2018_Annual_Summary.xls,Tue May 15 15:00:00 EDT 2018,[NPCC],Massachusetts:,Vandalism,0,0,Fri May 18 13:48:00 EDT 2018
79,2018_Annual_Summary.xls,Tue May 15 17:15:00 EDT 2018,[NPCC],New York:,Severe Weather,,49999,
80,2018_Annual_Summary.xls,Thu May 17 01:11:00 EDT 2018,[WECC],California: Contra Costa County;,Severe Weather,70,70000,
81,2018_Annual_Summary.xls,Thu May 17 01:11:00 EDT 2018,[WECC],California:,Transmission Disruption,124,70000,Fri May 18 00:38:00 EDT 2018
82,2018_Annual_Summary.xls,Sat May 26 18:40:00 EDT 2018,[TRE],Texas: Harris County;,Severe Weather,,163932,Sun May 27 23:50:00 EDT 2018
83,2018_Annual_Summary.xls,Sat Jun 02 05:00:00 EDT 2018,"[SPP, RE]","Missouri: Jackson County, Clay County, Platte County, Andrew County; Kansas: Johnson County;",Severe Weather,,103535,Sat Jun 02 11:00:00 EDT 2018
84,2018_Annual_Summary.xls,Mon Jun 04 08:50:00 EDT 2018,[FRCC],Florida: Alachua County;,Vandalism,0,0,Mon Jun 04 14:00:00 EDT 2018
85,2018_Annual_Summary.xls,Sat Jun 09 09:54:00 EDT 2018,[SERC],Georgia:,System Operations,0,0,Sat Jun 09 12:12:00 EDT 2018
86,2018_Annual_Summary.xls,Sun Jun 10 14:25:00 EDT 2018,[SERC],Kentucky:,System Operations,,,Mon Jun 11 05:58:00 EDT 2018
87,2018_Annual_Summary.xls,Tue Jun 12 16:15:00 EDT 2018,[WECC],Nevada: Clark County;,Vandalism,0,0,
88,2018_Annual_Summary.xls,Tue Jun 12 15:00:00 EDT 2018,[WECC],California: Kern County;,Vandalism,0,0,Tue Jun 12 15:15:00 EDT 2018
89,2018_Annual_Summary.xls,Mon Jun 18 18:20:00 EDT 2018,[NPCC],Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,Severe Weather,,112927,Tue Jun 19 00:15:00 EDT 2018
90,2018_Annual_Summary.xls,Wed Jun 20 22:58:00 EDT 2018,[FRCC],Florida: Palm Beach County;,Transmission Interruption,73,27000,Thu Jun 21 06:05:00 EDT 2018
91,2018_Annual_Summary.xls,Fri Jun 22 14:38:00 EDT 2018,[WECC],Washington:,Severe Weather,10000,4200000,
92,2018_Annual_Summary.xls,Wed Jun 27 14:30:00 EDT 2018,[NPCC],New York: New York County;,Suspicious Activity,0,0,Wed Jun 27 14:33:00 EDT 2018
93,2018_Annual_Summary.xls,Thu Jun 28 18:36:00 EDT 2018,[SERC],Missouri: Illinois:,Severe Weather,,112000,Sun Jul 01 07:00:00 EDT 2018
94,2018_Annual_Summary.xls,Thu Jun 28 14:50:00 EDT 2018,[SERC],Alabama: Georgia:,Severe Weather,160,48109,Fri Jun 29 09:00:00 EDT 2018
95,2018_Annual_Summary.xls,Fri Jun 29 07:35:00 EDT 2018,[MRO],Minnesota: St. Louis County;,Severe Weather,350,,Fri Jun 29 09:30:00 EDT 2018
96,2018_Annual_Summary.xls,Fri Jun 29 03:38:00 EDT 2018,[SERC],Kentucky:,System Operations,,,
97,2018_Annual_Summary.xls,Sat Jun 30 12:30:00 EDT 2018,[WECC],California: Los Angeles County;,Vandalism,0,0,Sat Jun 30 12:31:00 EDT 2018
98,2018_Annual_Summary.xls,Sat Jun 30 10:45:00 EDT 2018,[TRE],"Texas: Travis County, Williamson County;",System Operations,0,0,Sat Jun 30 11:28:00 EDT 2018
99,2018_Annual_Summary.xls,Wed Jul 04 22:00:00 EDT 2018,[WECC],Colorado: Pueblo County;,Vandalism,,5058,Wed Jul 04 22:30:00 EDT 2018
100,2018_Annual_Summary.xls,Wed Jul 04 17:54:00 EDT 2018,[SERC],Tennessee:,System Operations,0,0,Wed Jul 04 19:20:00 EDT 2018
101,2018_Annual_Summary.xls,Mon Jul 09 13:10:00 EDT 2018,[WECC],"California: Merced County, Kern County; Nevada: Clark County;",System Operations,0,0,Mon Jul 09 14:45:00 EDT 2018
102,2018_Annual_Summary.xls,Wed Jul 11 15:40:00 EDT 2018,[SERC],Tennessee:,Transmission Interruption,425,26195,Wed Jul 11 16:00:00 EDT 2018
103,2018_Annual_Summary.xls,Wed Jul 11 00:58:00 EDT 2018,[WECC],California:,Fuel Supply Deficiency,0,0,
104,2018_Annual_Summary.xls,Sat Jul 14 10:20:00 EDT 2018,[RF],Ohio:,System Operations,,,
105,2018_Annual_Summary.xls,Mon Jul 16 05:15:00 EDT 2018,[WECC],California: Merced County;,Fuel Supply Deficiency,0,0,
106,2018_Annual_Summary.xls,Wed Jul 18 17:28:00 EDT 2018,[WECC],Oregon:,Severe Weather/Transmission Interruption,,,Wed Jul 18 17:31:00 EDT 2018
107,2018_Annual_Summary.xls,Wed Jul 18 04:00:00 EDT 2018,[WECC],California: Fresno County;,Fuel Supply Deficiency,0,0,
108,2018_Annual_Summary.xls,Thu Jul 19 20:25:00 EDT 2018,[SERC],Kentucky:,System Operations,,,
109,2018_Annual_Summary.xls,Thu Jul 19 12:38:00 EDT 2018,[SERC],Louisiana: Rapides Parish;,System Operations,0,0,Thu Jul 19 13:22:00 EDT 2018
110,2018_Annual_Summary.xls,Fri Jul 20 12:46:00 EDT 2018,[NPCC],Maine: Hancock County;,System Operations,0,0,Fri Jul 20 13:30:00 EDT 2018
111,2018_Annual_Summary.xls,Fri Jul 20 16:19:00 EDT 2018,[SERC],Kentucky:,Severe Weather,,87833,Fri Jul 20 16:48:00 EDT 2018
112,2018_Annual_Summary.xls,Sat Jul 21 04:45:00 EDT 2018,[SERC],Arkansas:,Severe Weather,,64930,Sat Jul 21 11:15:00 EDT 2018
113,2018_Annual_Summary.xls,Sat Jul 21 07:20:00 EDT 2018,[SERC],Georgia:,Severe Weather,143,42901,Sat Jul 21 11:30:00 EDT 2018
114,2018_Annual_Summary.xls,Mon Jul 23 04:16:00 EDT 2018,[FRCC],Florida: Pinellas County;,Severe Weather/Transmission Interruption,40,,Mon Jul 23 04:29:00 EDT 2018
115,2018_Annual_Summary.xls,Thu Jul 26 20:24:00 EDT 2018,[WECC],California: Shasta County;,Natural Disaster,,,
116,2018_Annual_Summary.xls,Fri Jul 27 16:28:00 EDT 2018,[NPCC],New York: New York County;,Severe Weather/Transmission Interruption,0,0,Fri Jul 27 16:33:00 EDT 2018
117,2018_Annual_Summary.xls,Fri Jul 27 09:34:00 EDT 2018,[WECC],Washington: Clark County;,System Operations,,,Fri Jul 27 09:51:00 EDT 2018
118,2018_Annual_Summary.xls,Sat Jul 28 23:11:00 EDT 2018,[WECC],Nevada: Nye County;,System Operations,0,0,Sun Jul 29 01:51:00 EDT 2018
119,2018_Annual_Summary.xls,Sun Jul 29 14:33:00 EDT 2018,[WECC],California:,Natural Disaster,83,57670,Sun Jul 29 18:23:00 EDT 2018
120,2018_Annual_Summary.xls,Mon Jul 30 06:30:00 EDT 2018,[WECC],Arizona: Maricopa County;,Severe Weather,,82000,Mon Jul 30 23:00:00 EDT 2018
121,2018_Annual_Summary.xls,Tue Jul 31 11:44:00 EDT 2018,[WECC],California: Kern County;,Suspicious Activity,,,Tue Jul 31 14:17:00 EDT 2018
122,2018_Annual_Summary.xls,Wed Aug 01 09:11:00 EDT 2018,[WECC],Montana:,Vandalism,0,0,Wed Aug 01 10:56:00 EDT 2018
123,2018_Annual_Summary.xls,Sat Aug 04 08:20:00 EDT 2018,[WECC],California: Kern County;,Vandalism,,,Sat Aug 04 08:21:00 EDT 2018
124,2018_Annual_Summary.xls,Tue Aug 07 01:22:00 EDT 2018,[WECC],California: Butte County;,Natural Disaster,5,485,Tue Aug 07 01:59:00 EDT 2018
125,2018_Annual_Summary.xls,Tue Aug 07 01:22:00 EDT 2018,[WECC],California: Butte County;,Natural Disaster,27,11383,Tue Aug 07 19:04:00 EDT 2018
126,2018_Annual_Summary.xls,Tue Aug 14 21:00:00 EDT 2018,[SERC],Virginia: Hanover County;,Suspicious Activity,0,0,Tue Aug 14 21:01:00 EDT 2018
127,2018_Annual_Summary.xls,Wed Aug 15 00:00:00 EDT 2018,[SERC],Missouri: Boone County;,Vandalism,0,0,Wed Aug 15 01:00:00 EDT 2018
128,2018_Annual_Summary.xls,Fri Aug 17 13:07:00 EDT 2018,[WECC],California:,System Operations,0,0,Fri Aug 17 13:40:00 EDT 2018
129,2018_Annual_Summary.xls,Sun Aug 19 15:20:00 EDT 2018,[WECC],Utah: Box Elder County;,Vandalism,0,0,Sun Aug 19 15:21:00 EDT 2018
130,2018_Annual_Summary.xls,Mon Aug 20 22:46:00 EDT 2018,[SERC],Louisiana:,System Operations,0,0,Tue Aug 21 00:14:00 EDT 2018
131,2018_Annual_Summary.xls,Fri Aug 24 12:24:00 EDT 2018,[SERC],Virginia: Roanoke County;,System Operations,0,0,Fri Aug 24 12:59:00 EDT 2018
132,2018_Annual_Summary.xls,Sun Aug 26 22:00:00 EDT 2018,[RF],"Michigan: Muskegon County, Newaygo County, Oceana County, Mason County, Kent County, Mecosta County, Montcalm County, Isabella County, Midland County, Saginaw County;",Severe Weather,,67000,Mon Aug 27 04:56:00 EDT 2018
133,2018_Annual_Summary.xls,Tue Aug 28 23:41:00 EDT 2018,[RF],Ohio: Montgomery County;,System Operations,0,0,Wed Aug 29 00:13:00 EDT 2018
134,2018_Annual_Summary.xls,Tue Aug 28 20:00:00 EDT 2018,[RF],"Michigan: Benzie County, Barry County, Grand Traverse County, Kalkaska County, Mason County, Oceana County, Muskegon County, Kent County, Newaygo County, Montcalm County, Mecosta County, Antrim County, Eaton County, Ionia County, Isabella County, Clare County, Saginaw County;",Severe Weather,,110000,Thu Aug 30 14:59:00 EDT 2018
135,2018_Annual_Summary.xls,Wed Aug 29 03:27:00 EDT 2018,[RF],Maryland: Montgomery County; District of Columbia:,Suspicious Activity,0,0,Wed Aug 29 04:00:00 EDT 2018
136,2018_Annual_Summary.xls,Wed Aug 29 00:00:00 EDT 2018,[SERC],Illinois:,Severe Weather,,100000,Thu Aug 30 00:00:00 EDT 2018
137,2018_Annual_Summary.xls,Wed Aug 29 09:00:00 EDT 2018,[SERC],Arkansas:,Suspicious Activity,0,0,Wed Aug 29 09:06:00 EDT 2018
138,2018_Annual_Summary.xls,Thu Aug 30 12:00:00 EDT 2018,[WECC],California:,Vandalism,0,0,Thu Aug 30 12:20:00 EDT 2018
139,2018_Annual_Summary.xls,Fri Aug 31 15:07:00 EDT 2018,[WECC],Oregon:,Natural Disaster/Transmission Interruption,96,50000,Fri Aug 31 15:31:00 EDT 2018
140,2018_Annual_Summary.xls,Fri Aug 31 18:34:00 EDT 2018,[NPCC],"New York: New York County, Westchester County;",Suspicious Activity,0,0,Fri Aug 31 18:40:00 EDT 2018
2,2017_Annual_Summary.xls,Thu Jan 05 16:56:00 EST 2017,[FRCC],Florida: Martin County;,Suspected Physical Attack,0,0,Thu Jan 05 16:57:00 EST 2017
3,2017_Annual_Summary.xls,Sun Jan 08 09:07:00 EST 2017,[WECC],California,Severe Weather,,106000,Fri Jan 13 14:30:00 EST 2017
4,2017_Annual_Summary.xls,Sun Jan 08 23:59:00 EST 2017,[WECC],California,Fuel Supply Deficiency,0,0,
5,2017_Annual_Summary.xls,Tue Jan 10 19:30:00 EST 2017,[WECC],California,Severe Weather,,87000,Fri Jan 13 14:30:00 EST 2017
6,2017_Annual_Summary.xls,Sun Jan 15 06:35:00 EST 2017,[WECC],California: Los Angeles County;,Transmission Disruption,176,126000,Sun Jan 15 07:44:00 EST 2017
7,2017_Annual_Summary.xls,Sun Jan 15 09:27:00 EST 2017,[SPP],Oklahoma: Harper County;,Severe Weather,1,788,Tue Jan 17 01:58:00 EST 2017
8,2017_Annual_Summary.xls,Wed Jan 18 18:05:00 EST 2017,[WECC],California,Severe Weather,,75000,Thu Jan 19 00:05:00 EST 2017
9,2017_Annual_Summary.xls,Sun Jan 22 04:15:00 EST 2017,[WECC],California,Severe Weather,97,64000,Tue Jan 24 14:00:00 EST 2017
10,2017_Annual_Summary.xls,Sun Jan 22 06:00:00 EST 2017,[WECC],California,Fuel Supply Deficiency,0,0,
11,2017_Annual_Summary.xls,Sun Jan 22 16:00:00 EST 2017,[SERC],Alabama: Georgia: Mississippi: Florida:,Severe Weather,100,29965,Mon Jan 23 03:26:00 EST 2017
22,2017_Annual_Summary.xls,Wed Mar 01 11:49:00 EST 2017,[RFC],Kentucky: West Virginia:,Severe Weather,,98575,Thu Mar 02 21:30:00 EST 2017
23,2017_Annual_Summary.xls,Wed Mar 01 08:30:00 EST 2017,[SERC],Tennessee: Kentucky:,Severe Weather,,58000,Wed Mar 01 14:00:00 EST 2017
24,2017_Annual_Summary.xls,Thu Mar 02 12:20:00 EST 2017,[NPCC],Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,Severe Weather,,54316,Thu Mar 02 23:45:00 EST 2017
25,2017_Annual_Summary.xls,Mon Mar 06 20:00:00 EST 2017,[SERC],"Missouri: Jackson County, Platte County, Cass County, Lafayette County, Chariton County, Carroll County, Clay County, Johnson County;",Severe Weather,,97734,Tue Mar 07 01:00:00 EST 2017
26,2017_Annual_Summary.xls,Wed Mar 08 11:30:00 EST 2017,[RFC],Ohio,Severe Weather,,71012,Wed Mar 08 19:52:00 EST 2017
27,2017_Annual_Summary.xls,Wed Mar 08 12:00:00 EST 2017,[RFC],Michigan,Severe Weather,,800000,Sat Mar 11 11:31:00 EST 2017
28,2017_Annual_Summary.xls,Wed Mar 08 09:30:00 EST 2017,[RFC],"Michigan: Jackson County, Calhoun County, Ingham County, Hillsdale County, Washtenaw County, Kent County, Ottawa County, Midland County, Saginaw County;",Severe Weather,,343000,Sat Mar 11 05:00:00 EST 2017
29,2017_Annual_Summary.xls,Wed Mar 08 13:30:00 EST 2017,[NPCC],New York,Severe Weather/Transmission Interruption,,106869,Wed Mar 08 16:30:00 EST 2017
30,2017_Annual_Summary.xls,Wed Mar 08 15:33:00 EST 2017,[NPCC],New York,Severe Weather,,50000,
31,2017_Annual_Summary.xls,Sun Mar 12 09:56:00 EDT 2017,[WECC],California: Imperial County;,Vandalism,0,1,Sun Mar 12 11:20:00 EDT 2017
32,2017_Annual_Summary.xls,Tue Mar 14 12:32:00 EDT 2017,[NPCC],Connecticut: Massachusetts: Rhode Island: New Hampshire: Maine: Vermont:,Severe Weather,,69647,
33,2017_Annual_Summary.xls,Tue Mar 21 20:00:00 EDT 2017,[SERC],Georgia,Severe Weather,857,257000,Wed Mar 22 09:15:00 EDT 2017
34,2017_Annual_Summary.xls,Fri Mar 24 06:29:00 EDT 2017,[WECC],Oregon: Clatsop County;,Sabotage,0,0,Fri Mar 24 07:13:00 EDT 2017
